City,Lat,Long
Toronto,43.7417,-79.3733
Montréal,45.5089,-73.5617
Vancouver,49.25,-123.1
Calgary,51.05,-114.0667
Edmonton,53.5344,-113.4903
Ottawa,45.4247,-75.695
Winnipeg,49.8844,-97.1464
Quebec City,46.8139,-71.2081
Hamilton,43.2567,-79.8692
Mississauga,43.6,-79.65
Brampton,43.6833,-79.7667
Surrey,49.19,-122.8489
Kitchener,43.4186,-80.4728
Halifax,44.6475,-63.5906
Laval,45.5833,-73.75
London,42.9836,-81.2497
Victoria,48.4283,-123.3647
Markham,43.8767,-79.2633
Oshawa,43.9,-78.85
Vaughan,43.8333,-79.5
Windsor,42.2833,-83
Gatineau,45.4833,-75.65
Saskatoon,52.1333,-106.6833
Longueuil,45.5333,-73.5167
Burnaby,49.2667,-122.9667
St. Catharines,43.1833,-79.2333
Regina,50.4547,-104.6067
Oakville,43.45,-79.6833
Richmond,49.1667,-123.1333
Richmond Hill,43.8667,-79.4333
